"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4052","transferData_privateBackend()","","Thu May 29 15:30:52 GMT 2025","passed","Thu May 29 15:30:56 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","transferData_privateBackend"
"","2947","Contract policy is fulfilled Dismantler allowedBrands (EQ, exact match)","","Thu May 29 15:30:15 GMT 2025","passed","Thu May 29 15:30:18 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","transferData_whenContractPolicyFulfilled"
"","2152","Contract policy is NOT fulfilled Traceability Use Case (new notation)","","Thu May 29 15:29:44 GMT 2025","passed","Thu May 29 15:29:46 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","transferData_whenContractPolicyNotFulfilled"
"","3296","Contract policy is fulfilled Dismantler allowedBrands (IN, fully contained)","","Thu May 29 15:30:21 GMT 2025","passed","Thu May 29 15:30:24 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","transferData_whenContractPolicyFulfilled"
"","18697","transferFile_largeFile(long, Vault) File size bytes: 536870912","","Thu May 29 15:28:35 GMT 2025","passed","Thu May 29 15:28:54 GMT 2025","","org.eclipse.tractusx.edc.dataplane.transfer.test.AzureToAzureTest","org.eclipse.tractusx.edc.dataplane.transfer.test.AzureToAzureTest","transferFile_largeFile"
"","3045","Contract policy is fulfilled Dismantler allowedBrands (IN, fully contained)","","Thu May 29 15:31:55 GMT 2025","passed","Thu May 29 15:31:58 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","transferData_whenContractPolicyFulfilled"
"","12880","shouldTerminateTransfer_whenPolicyExpires()","","Thu May 29 15:27:57 GMT 2025","passed","Thu May 29 15:28:10 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyMonitorEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyMonitorEndToEndTest","shouldTerminateTransfer_whenPolicyExpires"
"","2046","transferFile_s3ToAzureMultipleFiles(Vault)","","Thu May 29 15:29:44 GMT 2025","passed","Thu May 29 15:29:47 GMT 2025","","org.eclipse.tractusx.edc.dataplane.transfer.test.MultiCloudTest","org.eclipse.tractusx.edc.dataplane.transfer.test.MultiCloudTest","transferFile_s3ToAzureMultipleFiles"
"","4401","Verify that the callbacks are invoked when negotiating an EDR","","Thu May 29 15:27:40 GMT 2025","passed","Thu May 29 15:27:45 GMT 2025","","org.eclipse.tractusx.edc.tests.edrv2.NegotiateEdrTest","org.eclipse.tractusx.edc.tests.edrv2.NegotiateEdrTest","negotiateEdr_shouldInvokeCallbacks"
"","253","Verify that the consumer receives only the offers he is permitted to (using the new BPN validation)","","Thu May 29 15:29:12 GMT 2025","passed","Thu May 29 15:29:13 GMT 2025","","org.eclipse.tractusx.edc.tests.catalog.CatalogTest","org.eclipse.tractusx.edc.tests.catalog.CatalogTest","requestCatalog_filteredByBpn_shouldReject"
"","40","Policy is accepted PCF Use Case (new notation)","","Thu May 29 15:27:35 GMT 2025","passed","Thu May 29 15:27:35 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidValidPolicyDefinitions"
"","33","Policy is accepted Dismantler allowedBrands (IS_NONE_OF, no intersect)","","Thu May 29 15:27:35 GMT 2025","passed","Thu May 29 15:27:35 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidValidPolicyDefinitions"
"","50","Policy is accepted Usage Purpose","","Thu May 29 15:27:35 GMT 2025","passed","Thu May 29 15:27:35 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidValidPolicyDefinitions"
"","17131","Malicious actor should not impersonate a consumer sending a valid consumer VP","","Thu May 29 15:28:18 GMT 2025","passed","Thu May 29 15:28:35 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.CredentialSpoofTest","org.eclipse.tractusx.edc.tests.transfer.CredentialSpoofTest","shouldNotImpersonateConsumer_withConsumerPresentation"
"","7355","transferData_withExpiredEdr_shouldReturn4xx()","","Thu May 29 15:29:55 GMT 2025","passed","Thu May 29 15:30:03 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.TransferWithTokenRefreshTest","org.eclipse.tractusx.edc.tests.transfer.TransferWithTokenRefreshTest","transferData_withExpiredEdr_shouldReturn4xx"
"","2043","transferFile_azureToS3(Vault)","","Thu May 29 15:29:42 GMT 2025","passed","Thu May 29 15:29:44 GMT 2025","","org.eclipse.tractusx.edc.dataplane.transfer.test.MultiCloudTest","org.eclipse.tractusx.edc.dataplane.transfer.test.MultiCloudTest","transferFile_azureToS3"
"","9226","transferData_withAutomaticRefresh()","","Thu May 29 15:29:46 GMT 2025","passed","Thu May 29 15:29:55 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.TransferWithTokenRefreshTest","org.eclipse.tractusx.edc.tests.transfer.TransferWithTokenRefreshTest","transferData_withAutomaticRefresh"
"","75","Provider gets 200 when asset selector has a valid criterion","","Thu May 29 15:28:23 GMT 2025","passed","Thu May 29 15:28:23 GMT 2025","","org.eclipse.tractusx.edc.tests.validators.EmptyAssetSelectorValidatorTest","org.eclipse.tractusx.edc.tests.validators.EmptyAssetSelectorValidatorTest","shouldPass_whenContractDefinitionHasCorrectAssetSelector"
"","448","refreshEdr()","","Thu May 29 15:27:17 GMT 2025","passed","Thu May 29 15:27:17 GMT 2025","","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","refreshEdr"
"","3029","Contract policy is fulfilled Dismantler allowedBrands (IS_NONE_OF, no intersect)","","Thu May 29 15:30:18 GMT 2025","passed","Thu May 29 15:30:21 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","transferData_whenContractPolicyFulfilled"
